"","Agro_stability_max_k","Agro_quality_max_k","Agro_global_max_k","Obo_stability_max_k","Obo_quality_max_k","Obo_global_max_k"
"ANOnto",3,3,3,3,3,3
"AROnto",3,3,3,4,9,4
"CBOOnto",3,3,3,7,3,3
"CBOOnto2",3,3,3,7,3,3
"CROnto",8,3,3,3,3,3
"DITOnto",3,14,3,3,15,3
"INROnto",3,3,3,9,3,3
"LCOMOnto",5,3,3,4,8,8
"NACOnto",3,10,10,4,3,3
"NOCOnto",4,3,3,3,3,3
"NOMOnto",3,3,3,6,3,3
"POnto",5,4,4,3,4,3
"PROnto",3,11,3,3,12,3
"RFCOnto",3,3,3,4,3,3
"RROnto",3,11,3,3,12,3
"TMOnto",6,8,8,3,3,3
"TMOnto2",4,3,3,3,10,10
"WMCOnto",3,3,3,3,3,3
"WMCOnto2",6,4,4,3,3,3
