"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","14",0.882922772185094,0.633802445619617,"10",0.823227553344282,0.694386680904093,"10"
"AROnto","6",0.838562200735712,0.858521730643347,"9",0.812714331316807,0.879334672030049,"9"
"CBOOnto","7",0.853897599995697,0.610460854940422,"4",0.738833242052168,0.667824900324093,"7"
"CBOOnto2","7",0.853897599995697,0.610460854940422,"4",0.738833242052168,0.667824900324093,"7"
"CROnto","3",0.897856715418798,0.933587727287439,"3",0.897856715418798,0.933587727287439,"3"
"DITOnto","4",0.886474343996636,0.546338540419344,"15",0.81847750952751,0.828451827300957,"15"
"INROnto","9",0.837145296927129,0.621432221285644,"3",0.769995076226825,0.654312817930668,"3"
"LCOMOnto","3",0.954693116899501,0.539549226293955,"9",0.879668066737503,0.613244586569811,"9"
"NACOnto","4",0.925114784834692,0.669915055881192,"4",0.925114784834692,0.669915055881192,"4"
"NOCOnto","3",0.889515194665026,0.812473859805574,"3",0.889515194665026,0.812473859805574,"3"
"NOMOnto","13",0.850712363496525,0.661907991989239,"14",0.847117239196276,0.664533195317892,"14"
"POnto","3",0.909793602114863,0.585891067320046,"4",0.788934313930186,0.595609308468631,"4"
"PROnto","3",0.96441477259405,0.640865667978995,"8",0.865975248839568,0.648893099233293,"8"
"RFCOnto","7",0.820919692822823,0.585578225488866,"3",0.755159508078952,0.645908511608561,"3"
"RROnto","3",0.964265438530923,0.640865667974936,"8",0.865554188996633,0.648893099228515,"8"
"TMOnto","6",0.920841084611744,0.659439816094922,"9",0.821227460446716,0.671438480604911,"9"
"TMOnto2","3",0.934913201800874,0.726945123490563,"12",0.828615746002733,0.775283060508676,"12"
"WMCOnto","6",0.809393351598184,0.642732815541157,"3",0.79350044102548,0.874470506927088,"3"
"WMCOnto2","9",0.816090108288375,0.659598676858228,"3",0.798398605347691,0.878408479201156,"3"
