ISSN,Journal.Impact.Factor
0028-0836,40.137
0036-8075,37.205
2041-1723,12.124
0027-8424,9.661
2095-5138,8.843
2047-217X,6.871
2052-4463,4.836
0077-8923,4.706
1076-2787,4.621
2045-2322,4.259
2095-9273,4.092
1742-5689,3.579
1759-2879,3.018
1364-503X,2.97
1932-6203,2.806
0386-2208,2.324
2054-5703,2.243
1353-3452,2.229
0028-1042,2.221
2167-8359,2.177
1364-5021,2.146
1001-6538,1.649
1454-9069,1.623
0218-348X,1.54
2073-8994,1.457
0218-1274,1.329
0036-8733,1.316
1940-087X,1.232
0028-1042,1.191
2193-1801,1.13
0303-6758,1.125
0038-2353,0.96
0973-5348,0.952
2155-3769,0.933
0748-5492,0.881
2193-567X,0.865
0001-3765,0.861
0003-0996,0.856
0011-3891,0.843
0219-5259,0.833
2307-4108,0.811
0372-1426,0.763
1736-6046,0.737
1026-0226,0.711
2037-4631,0.693
0011-748X,0.5
0970-4140,0.493
0126-6039,0.47
1019-3316,0.44
0125-2526,0.437
0369-8203,0.425
1391-4588,0.42
0308-0188,0.404
0250-541X,0.369
0262-4079,0.353
1513-1874,0.343
0890-3670,0.325
1905-7873,0.312
0160-9327,0.302
1099-274X,0.3
1806-2563,0.259
1310-1331,0.251
1028-6276,0.217
0746-9179,0.071
