"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.625973084639913","0.813730877202368","0.788486131983887","16","103"
"AROnto","0.955097309417684","0","0.947071281607451","118","1"
"CBOOnto","0.852830902673906","0.329823020336711","0.82646075734598","113","6"
"CBOOnto2","0.852830902673906","0.329823020336711","0.82646075734598","113","6"
"CROnto","0.958581624887999","0.429895689425031","0.945253408027588","116","3"
"DITOnto","0.673444123897741","0.374296161476436","0.582945580644237","83","36"
"INROnto","0.941475059379612","0","0.933563504258775","118","1"
"LCOMOnto","0.631934108926206","0.528515596043039","0.601516899254687","84","35"
"NACOnto","0.816714493702407","0.363531532261152","0.748165810459192","101","18"
"NOCOnto","0.940240110992478","0.407924963291721","0.922347164851276","115","4"
"NOMOnto","0.956189778461765","0","0.948154570239397","118","1"
"POnto","0.556985054372329","0.682246928751482","0.658036650510133","23","96"
"PROnto","0.70168404933628","0.614198645873542","0.656838590418406","58","61"
"RFCOnto","0.948582984225061","0","0.940611698643338","118","1"
"RROnto","0.614198645877287","0.701684049327374","0.656838590415985","61","58"
"TMOnto","0.771492291131517","0.574569732546313","0.72515757146441","91","28"
"TMOnto2","1","0.941975612042962","0.950752410221337","18","101"
"WMCOnto","0.99341998602525","0","0.985071918915794","118","1"
"WMCOnto2","0.994472592943506","0","0.986115680397762","118","1"
