"Author(s)_Year","yi_OR"
"Morton_1984",-0.83034830207343
"Rasmussen_1986",-1.10966212485469
"Smith_1986",-1.29822534257213
"Abraham_1987",-0.0434851119397384
"Ceremuzynski_1989",-1.28093384546206
"Shechter_1990",-2.30485524152858
"Singh_1990",-0.675128675057267
"Feldstedt_1991",0.223143551314209
"Shechter_1991",-0.593063722002963
"Woods_1992",-0.297645195200004
"Wu_1992",-1.16315080980568
"Thogersen_1995",-0.793230639116928
"Shechter_1995",-1.57425840531293
"ISIS-4_1995",0.0575872510764341
"Bhargava_1995",-0.0555698511548108
"Urek_1996",1.09861228866811
"Raghu_1999",-1.09861228866811
"MAGIC_2000",0.00253786477632723
"Gyamlani_2000",-1.79175946922805
"Santoro_2000",-1.11194581953757
"Zhu_2002",-0.443390124851709
"Nakashima_2004",-1.09861228866811
